,img,colormap,dataset,arquitetura_cnn
MTF,Car,binary,0.233333334326744,vgg16_tf
MTF,Haptics,binary,0.18831168115139,vgg16_tf
MTF,DistalPhalanxOutlineAgeGroup,binary,0.4676258862018585,vgg16_tf
MTF,Strawberry,binary,0.6432432532310486,vgg16_tf
MTF,ECG200,binary,1.0,vgg16_tf
MTF,FiftyWords,binary,0.1252747327089309,vgg16_tf
MTF,AllGestureWiimoteY,binary,0.1000000014901161,vgg16_tf
MTF,GestureMidAirD3,binary,0.0384615398943424,vgg16_tf
MTF,Ham,binary,0.5142857432365417,vgg16_tf
MTF,SwedishLeaf,binary,0.0527999997138977,vgg16_tf
MTF,DodgerLoopDay,binary,0.1500000059604644,vgg16_tf
MTF,PigCVP,binary,0.0192307699471712,vgg16_tf
MTF,ShakeGestureWiimoteZ,binary,0.1000000014901161,vgg16_tf
MTF,MiddlePhalanxOutlineCorrect,binary,0.5704467296600342,vgg16_tf
MTF,DistalPhalanxTW,binary,0.3021582663059234,vgg16_tf
MTF,WordSynonyms,binary,0.2194357365369796,vgg16_tf
MTF,TwoLeadECG,binary,0.4995610117912292,vgg16_tf
MTF,SemgHandSubjectCh2,binary,0.2000000029802322,vgg16_tf
MTF,BME,binary,0.3333333432674408,vgg16_tf
MTF,MiddlePhalanxOutlineAgeGroup,binary,0.18831168115139,vgg16_tf
MTF,Trace,binary,0.1899999976158142,vgg16_tf
MTF,InlineSkate,binary,0.1545454561710357,vgg16_tf
MTF,Symbols,binary,0.1738693416118621,vgg16_tf
MTF,GestureMidAirD2,binary,0.0384615398943424,vgg16_tf
MTF,SonyAIBORobotSurface2,binary,0.6169989705085754,vgg16_tf
MTF,Earthquakes,binary,0.7482014298439026,vgg16_tf
MTF,ProximalPhalanxOutlineCorrect,binary,0.6838487982749939,vgg16_tf
MTF,Rock,binary,0.1800000071525573,vgg16_tf
MTF,OSULeaf,binary,0.1818181872367859,vgg16_tf
MTF,ECGFiveDays,binary,0.4970963895320892,vgg16_tf
MTF,CricketX,binary,0.0666666701436042,vgg16_tf
MTF,ACSF1,binary,0.1000000014901161,vgg16_tf
MTF,Chinatown,binary,0.2740524709224701,vgg16_tf
MTF,CricketZ,binary,0.0615384615957737,vgg16_tf
MTF,ToeSegmentation2,binary,0.8153846263885498,vgg16_tf
MTF,PigAirwayPressure,binary,0.0192307699471712,vgg16_tf
MTF,Herring,binary,0.59375,vgg16_tf
MTF,PigArtPressure,binary,0.0192307699471712,vgg16_tf
MTF,PLAID,binary,0.1620111763477325,vgg16_tf
MTF,MiddlePhalanxTW,binary,0.2727272808551788,vgg16_tf
MTF,BeetleFly,binary,0.5,vgg16_tf
MTF,DistalPhalanxOutlineCorrect,binary,0.5833333134651184,vgg16_tf
MTF,EOGVerticalSignal,binary,0.0828729271888732,vgg16_tf
MTF,SmoothSubspace,binary,0.3333333432674408,vgg16_tf
MTF,SmallKitchenAppliances,binary,0.3333333432674408,vgg16_tf
MTF,GunPointMaleVersusFemale,binary,0.474683552980423,vgg16_tf
MTF,DodgerLoopWeekend,binary,0.739130437374115,vgg16_tf
MTF,Adiac,binary,0.020460357889533,vgg16_tf
MTF,SonyAIBORobotSurface1,binary,0.4292845129966736,vgg16_tf
MTF,CricketY,binary,0.0794871821999549,vgg16_tf
MTF,Wine,binary,0.5,vgg16_tf
MTF,PickupGestureWiimoteZ,binary,0.1000000014901161,vgg16_tf
MTF,GunPointOldVersusYoung,binary,0.523809552192688,vgg16_tf
MTF,Fungi,binary,0.0376344099640846,vgg16_tf
MTF,ShapesAll,binary,0.016666667535901,vgg16_tf
MTF,UMD,binary,0.3333333432674408,vgg16_tf
MTF,GunPoint,binary,0.4933333396911621,vgg16_tf
MTF,DiatomSizeReduction,binary,0.3006536066532135,vgg16_tf
MTF,GesturePebbleZ1,binary,0.1569767445325851,vgg16_tf
MTF,ToeSegmentation1,binary,0.5263158082962036,vgg16_tf
MTF,RefrigerationDevices,binary,0.3333333432674408,vgg16_tf
MTF,PowerCons,binary,0.5,vgg16_tf
MTF,WormsTwoClass,binary,0.5714285969734192,vgg16_tf
MTF,Worms,binary,0.4285714328289032,vgg16_tf
MTF,ScreenType,binary,0.3333333432674408,vgg16_tf
MTF,Fish,binary,0.1257142871618271,vgg16_tf
MTF,Lightning7,binary,0.2602739632129669,vgg16_tf
MTF,AllGestureWiimoteX,binary,0.1000000014901161,vgg16_tf
MTF,DodgerLoopGame,binary,0.47826087474823,vgg16_tf
MTF,HouseTwenty,binary,0.4201680719852447,vgg16_tf
MTF,ShapeletSim,binary,0.5,vgg16_tf
MTF,MedicalImages,binary,0.5144736766815186,vgg16_tf
MTF,Meat,binary,0.3333333432674408,vgg16_tf
MTF,ArrowHead,binary,0.3942857086658478,vgg16_tf
MTF,Computers,binary,0.5,vgg16_tf
MTF,Coffee,binary,0.5357142686843872,vgg16_tf
MTF,Lightning2,binary,1.0,vgg16_tf
MTF,GesturePebbleZ2,binary,0.1772151887416839,vgg16_tf
MTF,EOGHorizontalSignal,binary,0.0828729271888732,vgg16_tf
MTF,FreezerSmallTrain,binary,0.5,vgg16_tf
MTF,CBF,binary,0.3311111032962799,vgg16_tf
MTF,LargeKitchenAppliances,binary,0.3333333432674408,vgg16_tf
MTF,GunPointAgeSpan,binary,0.4936708807945251,vgg16_tf
MTF,SyntheticControl,binary,0.1666666716337204,vgg16_tf
MTF,InsectEPGSmallTrain,binary,0.4738955795764923,vgg16_tf
MTF,SemgHandMovementCh2,binary,0.1666666716337204,vgg16_tf
RP,FaceFour,binary,0.2954545319080353,vgg16_tf
RP,BirdChicken,binary,0.5,vgg16_tf
RP,ProximalPhalanxTW,binary,0.35121950507164,vgg16_tf
RP,CinCECGTorso,binary,0.2478260844945907,vgg16_tf
RP,Beef,binary,0.2000000029802322,vgg16_tf
RP,EthanolLevel,binary,0.2520000040531158,vgg16_tf
RP,MoteStrain,binary,0.4608626067638397,vgg16_tf
RP,GestureMidAirD1,binary,0.0384615398943424,vgg16_tf
RP,OliveOil,binary,0.4000000059604645,vgg16_tf
RP,ProximalPhalanxOutlineAgeGroup,binary,0.4292683005332947,vgg16_tf
RP,SemgHandGenderCh2,binary,0.3499999940395355,vgg16_tf
RP,Plane,binary,0.095238097012043,vgg16_tf
RP,AllGestureWiimoteZ,binary,0.1000000014901161,vgg16_tf
RP,ItalyPowerDemand,binary,0.5014577507972717,vgg16_tf
RP,Car,binary,0.233333334326744,vgg16_tf
RP,Haptics,binary,0.18831168115139,vgg16_tf
RP,DistalPhalanxOutlineAgeGroup,binary,0.4676258862018585,vgg16_tf
RP,Strawberry,binary,0.6432432532310486,vgg16_tf
RP,ECG200,binary,1.0,vgg16_tf
RP,FiftyWords,binary,0.1252747327089309,vgg16_tf
RP,AllGestureWiimoteY,binary,0.1000000014901161,vgg16_tf
RP,GestureMidAirD3,binary,0.0384615398943424,vgg16_tf
RP,Ham,binary,0.5142857432365417,vgg16_tf
RP,SwedishLeaf,binary,0.0527999997138977,vgg16_tf
RP,DodgerLoopDay,binary,0.1500000059604644,vgg16_tf
RP,PigCVP,binary,0.0192307699471712,vgg16_tf
RP,ShakeGestureWiimoteZ,binary,0.1000000014901161,vgg16_tf
RP,MiddlePhalanxOutlineCorrect,binary,0.5704467296600342,vgg16_tf
RP,DistalPhalanxTW,binary,0.3021582663059234,vgg16_tf
RP,WordSynonyms,binary,0.2194357365369796,vgg16_tf
RP,TwoLeadECG,binary,0.4995610117912292,vgg16_tf
RP,SemgHandSubjectCh2,binary,0.2000000029802322,vgg16_tf
RP,BME,binary,0.3333333432674408,vgg16_tf
RP,MiddlePhalanxOutlineAgeGroup,binary,0.18831168115139,vgg16_tf
RP,Trace,binary,0.1899999976158142,vgg16_tf
RP,InlineSkate,binary,0.1545454561710357,vgg16_tf
RP,Symbols,binary,0.1738693416118621,vgg16_tf
RP,GestureMidAirD2,binary,0.0384615398943424,vgg16_tf
RP,SonyAIBORobotSurface2,binary,0.6169989705085754,vgg16_tf
RP,Earthquakes,binary,0.7482014298439026,vgg16_tf
RP,ProximalPhalanxOutlineCorrect,binary,0.6838487982749939,vgg16_tf
RP,Rock,binary,0.1800000071525573,vgg16_tf
RP,OSULeaf,binary,0.1900826394557953,vgg16_tf
RP,ECGFiveDays,binary,0.4970963895320892,vgg16_tf
RP,CricketX,binary,0.0666666701436042,vgg16_tf
RP,ACSF1,binary,0.1000000014901161,vgg16_tf
RP,Chinatown,binary,0.7259474992752075,vgg16_tf
RP,CricketZ,binary,0.0615384615957737,vgg16_tf
RP,ToeSegmentation2,binary,0.8153846263885498,vgg16_tf
RP,PigAirwayPressure,binary,0.0192307699471712,vgg16_tf
RP,Herring,binary,0.59375,vgg16_tf
